sha256,methodSignature,trueLabel
c05b2b6c3a373cc2e9588ed68bd136287a9599b6fa5afb1e71d711f1f69b9284,"<android.app.AlarmManager: void set(int,long,android.app.PendingIntent)>",SINK
5ddb5e30f5730d20bcbab5a207b659ff153bc194c1d6624429cbdb92e0e9a9d8,"<android.content.ContextWrapper: void sendBroadcast(android.content.Intent,java.lang.String)>",SINK
74e5f0452258737b639cb3138b1c3cd7e6978ff912e761d803fff36394b95178,"<android.app.AlarmManager: void setRepeating(int,long,long,android.app.PendingIntent)>",SINK
a524e8a386d55fc33763b91a565e241d06bc335065d9108df50e21787ab8c55d,"<android.app.Activity: void startActivityFromFragment(android.app.Fragment,android.content.Intent,int)>",SINK
a3c1e17466eee0b045b3c73a7a1e93636341f9deaed758bf9ac4e8ba59078651,"<android.bluetooth.BluetoothHidDevice: boolean sendReport(android.bluetooth.BluetoothDevice,int,byte[])>",SINK
4495878cb1e3be35e3aaeefdc97b45accfb2c68a293a79c161bc30dbb2aa6284,"<android.os.MemoryFile: void writeBytes(byte[],int,int,int)>",SINK
4f2c651e9ed0d07a4df53f00a65e7e11d559a489c20ab3faaa089e0a020a20e9,"<android.telephony.SmsManager: void sendTextMessage(java.lang.String,java.lang.String,java.lang.String,android.app.PendingIntent,android.app.PendingIntent,int,boolean,int)>",SINK
cef8e56c98bc188cd8f6b15e0d9933df0e5cec18f002cef823ada061422917dd,"<android.database.DatabaseUtils: void createDbFromSqlStatements(android.content.Context,java.lang.String,int,java.lang.String)>",SINK
d29157dae1edd689d13f3d0f7f667a48a0bb1cb1d32bca4bff428a8ad59a93c4,"<android.content.Context: void sendOrderedBroadcast(android.content.Intent,java.lang.String,java.lang.String,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>",SINK
d0ab3fa0c99f093f2911d55f098ad022034e6716ac03aa6306108da3b4858192,"<android.nfc.cardemulation.HostNfcFService: void sendResponsePacket(byte[])>",SINK
71a9231b63c364f1e3df3f45c9ea4fe4e2e9c81b4803819cfa2da35f457a7eb5,"<android.telephony.SmsManager: void sendTextMessageWithoutPersisting(java.lang.String,java.lang.String,java.lang.String,android.app.PendingIntent,android.app.PendingIntent,int,boolean,int)>",SINK
782eb30a51317a40aa855f0112b4802ba015e788d7bf99eb085f9d21dc235c69,"<android.app.Activity: void setResult(int,android.content.Intent)>",SINK
5e45fa6bd57659b85776f0348012225f480df611803ed33a86c9d16ea710b66e,"<android.app.AlarmManager: void setAndAllowWhileIdle(int,long,android.app.PendingIntent)>",SINK
934d1f0e3c44e3cedc1714519d49a7a96d6f147e067583383d68628eac164104,"<android.nfc.NfcAdapter: void setNdefPushMessage(android.nfc.NdefMessage,android.app.Activity,android.app.Activity[])>",SINK
a974df20f511a4aa96fa66b41dd08f525a18aa491c8b00322a0239af481df3b0,"<android.telephony.SmsManager: void sendMultipartTextMessage(java.lang.String,java.lang.String,java.util.List,java.util.List,java.util.List,java.lang.String,java.lang.String)>",SINK
7975797a61fa9b5d22c2d6e2b0ed18bb010dbb5c5fc508af40c54ad0dceaadf3,"<android.view.autofill.AutofillManager: void setUserData(android.service.autofill.UserData)>",SINK
19d31c89fa26da1a9d6bb3fb3b8ea649dbf56faac4b4859f535cfe16f668414a,"<android.telephony.TelephonyManager: void sendDialerSpecialCode(java.lang.String)>",SINK
1da8b06fc2e14a67fb44662f43a66e4405387bfbad5c1d252901221a7fd29ff0,"<java.net.Socket: void sendUrgentData(int)>",SINK
0e4657537032681de7687dcb06405629ba8f7927f45124bd994a8e716324a83a,"<android.app.Activity: void startActivityForResult(android.content.Intent,int)>",SINK
